Type,Value 
10A_A_LDHA,1.122652756
10A_A_LDHA,1.108821781
10A_A_LDHA,1.142171877
10A_A_LDHA,2.915450785
10A_A_LDHA,6.59077088
10A_R_LDHA,1.292
10A_R_LDHA,1.000
10A_R_LDHA,0.389
10A_R_LDHA,2.990
10A_R_LDHA,0.719
10A_R_LDHA,0.926
10A_A_Vim,1.892019501
10A_A_Vim,2.015266216
10A_A_Vim,1.658234398
10A_A_Vim,4.690911395
10A_A_Vim,1.520294064
10A_A_Vim,1.626068147
10A_R_Vim,1.268919536
10A_R_Vim,1.495793478
10A_R_Vim,0.105874204
10A_R_Vim,0.895768775
10A_R_Vim,2.695455246
10A_R_Vim,2.060990904
10A_A_Ecad,1.155385284
10A_A_Ecad,1.239278722
10A_A_Ecad,1.662374986
10A_A_Ecad,4.763080568
10A_A_Ecad,13.15163916
10A_A_Ecad,8.611315211
10A_R_Ecad,1.55182254
10A_R_Ecad,1.442731541
10A_R_Ecad,0.535308356
10A_R_Ecad,2.280049239
10A_R_Ecad,0.568593922
10A_R_Ecad,0.643608777
231_R_LDHA,1.131687052
231_R_LDHA,1.123973754
231_R_LDHA,0.966547883
231_R_LDHA,1.250225262
231_R_LDHA,0.798171677
231_R_LDHA,0.815097433
231_A_LDHA,0.772812172
231_A_LDHA,0.759995466
231_A_LDHA,1.615262151
231_A_LDHA,3.55420658
231_A_LDHA,0.655380377
231_A_LDHA,0.557302652
231_R_Vim,1.0457212
231_R_Vim,1.095229021
231_R_Vim,0.946836823
231_R_Vim,0.926677917
231_R_Vim,0.998621588
231_R_Vim,0.996492975
231_A_Vim,0.985404346
231_A_Vim,0.793906571
231_A_Vim,3.91610595
231_A_Vim,4.532301419
231_A_Vim,1.0457212
231_A_Vim,1.095229021
231_R_Ecad,1.038810568
231_R_Ecad,1.077683842
231_R_Ecad,1.742084532
231_R_Ecad,1.822737728
231_R_Ecad,0.544770741
231_R_Ecad,0.516374861
231_A_Ecad,6.23718431
231_A_Ecad,0.818337972
231_A_Ecad,3.716586332
231_A_Ecad,2.072808887
231_A_Ecad,0.492975724
231_A_Ecad,0.469940224
