Type,Value ,Cell,Gene,Alignment 
10A_A_LDHA,1.769988173,MCF-10A,LDHA,Aligned 
10A_A_LDHA,1.881187123,MCF-10A,LDHA,Aligned 
10A_A_LDHA,1.114443276,MCF-10A,LDHA,Aligned 
10A_A_LDHA,1.117617018,MCF-10A,LDHA,Aligned 
10A_R_LDHA,1.162,MCF-10A,LDHA,Random
10A_R_LDHA,1.112,MCF-10A,LDHA,Random
10A_R_LDHA,1.109,MCF-10A,LDHA,Random
10A_R_LDHA,1.048,MCF-10A,LDHA,Random
10A_R_LDHA,0.748,MCF-10A,LDHA,Random
10A_R_LDHA,0.890,MCF-10A,LDHA,Random
10A_A_Vim,1.944985205,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.961014225,MCF-10A,Vimentin,Aligned 
10A_A_Vim,2.569587888,MCF-10A,Vimentin,Aligned 
10A_A_Vim,3.026798517,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.509176809,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.638966212,MCF-10A,Vimentin,Aligned 
10A_R_Vim,1.319692007,MCF-10A,Vimentin,Random
10A_R_Vim,1.437567416,MCF-10A,Vimentin,Random
10A_R_Vim,0.302188718,MCF-10A,Vimentin,Random
10A_R_Vim,0.313881351,MCF-10A,Vimentin,Random
10A_R_Vim,2.425013235,MCF-10A,Vimentin,Random
10A_R_Vim,2.291465177,MCF-10A,Vimentin,Random
10A_A_Ecad,1.146936449,MCF-10A,E-Cadherin,Aligned 
10A_A_Ecad,1.249108751,MCF-10A,E-Cadherin,Aligned 
10A_A_Ecad,2.576004112,MCF-10A,E-Cadherin,Aligned 
10A_A_Ecad,3.07336549,MCF-10A,E-Cadherin,Aligned 
10A_A_Ecad,13.51980969,MCF-10A,E-Cadherin,Aligned 
10A_A_Ecad,8.379494229,MCF-10A,E-Cadherin,Aligned 
10A_R_Ecad,1.39607058,MCF-10A,E-Cadherin,Random
10A_R_Ecad,1.60400621,MCF-10A,E-Cadherin,Random
10A_R_Ecad,1.527831446,MCF-10A,E-Cadherin,Random
10A_R_Ecad,0.798908702,MCF-10A,E-Cadherin,Random
10A_R_Ecad,0.591322014,MCF-10A,E-Cadherin,Random
10A_R_Ecad,0.618531576,MCF-10A,E-Cadherin,Random
231_R_LDHA,1.192566453,MDA-MB-231,LDHA,Random
231_R_LDHA,1.065844168,MDA-MB-231,LDHA,Random
231_R_LDHA,1.007216153,MDA-MB-231,LDHA,Random
231_R_LDHA,1.199983861,MDA-MB-231,LDHA,Random
231_R_LDHA,0.804545923,MDA-MB-231,LDHA,Random
231_R_LDHA,0.809021479,MDA-MB-231,LDHA,Random
231_A_LDHA,0.801537465,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,0.732328232,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,1.606375948,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,3.572054614,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,0.593936652,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,0.615044063,MDA-MB-231,LDHA,Aligned 
231_R_Vim,1.138517991,MDA-MB-231,Vimentin,Random
231_R_Vim,1.073025962,MDA-MB-231,Vimentin,Random
231_R_Vim,1.019394276,MDA-MB-231,Vimentin,Random
231_R_Vim,0.918932671,MDA-MB-231,Vimentin,Random
231_R_Vim,0.855530823,MDA-MB-231,Vimentin,Random
231_R_Vim,1.021862617,MDA-MB-231,Vimentin,Random
231_A_Vim,0.922632842,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,0.905216083,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,4.02370704,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,4.706108679,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,0.596220232,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,0.735296455,MDA-MB-231,Vimentin,Aligned 
231_R_Ecad,1.094339917,MDA-MB-231,E-Cadherin,Random
231_R_Ecad,1.021618044,MDA-MB-231,E-Cadherin,Random
231_R_Ecad,1.814797501,MDA-MB-231,E-Cadherin,Random
231_R_Ecad,1.748924083,MDA-MB-231,E-Cadherin,Random
231_R_Ecad,0.54894387,MDA-MB-231,E-Cadherin,Random
231_R_Ecad,0.512360048,MDA-MB-231,E-Cadherin,Random
231_A_Ecad,5.65060449,MDA-MB-231,E-Cadherin,Aligned 
231_A_Ecad,0.902833082,MDA-MB-231,E-Cadherin,Aligned 
231_A_Ecad,3.69494554,MDA-MB-231,E-Cadherin,Aligned 
231_A_Ecad,2.082544672,MDA-MB-231,E-Cadherin,Aligned 
231_A_Ecad,0.511134325,MDA-MB-231,E-Cadherin,Aligned 
231_A_Ecad,0.452685972,MDA-MB-231,E-Cadherin,Aligned 
